actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.06908771395683289,0.0
-0.0718885213136673,-0.019739476963877678
-0.07375572621822357,-0.03463931009173393
-0.07562292367219925,-0.04581550136208534
-0.08231135457754135,-0.054331954568624496
-0.08627808094024658,-0.06232611835002899
-0.0882614403963089,-0.06916957348585129
-0.09123647958040237,-0.07462441921234131
-0.09520316869020462,-0.07937074452638626
-0.09851530194282532,-0.08389431238174438
-0.10249559581279755,-0.08807175606489182
-0.10747094452381134,-0.0921928733587265
-0.11344131827354431,-0.09655805677175522
-0.11841660737991333,-0.10138187557458878
-0.12584461271762848,-0.10624896734952927
-0.13289155066013336,-0.11184776574373245
-0.13993841409683228,-0.1178603246808052
-0.14597854018211365,-0.12416841089725494
-0.15403196215629578,-0.1303999274969101
-0.16309194266796112,-0.13715201616287231
-0.15489612519741058,-0.14456351101398468
-0.16214215755462646,-0.1475156992673874
-0.16938813030719757,-0.15169472992420197
-0.17663399875164032,-0.15675002336502075
-0.1838797926902771,-0.16243122518062592
-0.19743956625461578,-0.1685594618320465
-0.20496012270450592,-0.17681105434894562
-0.2124805897474289,-0.18485379219055176
-0.21812087297439575,-0.1927472949028015
-0.22470109164714813,-0.19999700784683228
-0.22390331327915192,-0.2070554494857788
-0.22936350107192993,-0.21186918020248413
-0.23573365807533264,-0.2168676108121872
-0.24119369685649872,-0.22225798666477203
-0.24574369192123413,-0.22766827046871185
-0.26237788796424866,-0.23283274471759796
-0.2671300768852234,-0.2412744164466858
-0.27093181014060974,-0.24866190552711487
-0.2756839096546173,-0.25502485036849976
-0.2794855535030365,-0.26092755794525146
-0.2832871675491333,-0.26622992753982544
-0.311274915933609,-0.27110350131988525
-0.3153965175151825,-0.28258147835731506
-0.3184877038002014,-0.2919574975967407
-0.3195180892944336,-0.2995377480983734
-0.3195180892944336,-0.3052465319633484
-0.26082804799079895,-0.3093241751194
-0.26082804799079895,-0.2954687774181366
-0.26082804799079895,-0.28557172417640686
-0.26082804799079895,-0.2785022556781769
-0.26082804799079895,-0.2734525799751282
-0.24041633307933807,-0.2698456048965454
-0.24041633307933807,-0.26143744587898254
-0.2396358996629715,-0.25543153285980225
-0.23807501792907715,-0.25091853737831116
-0.23729458451271057,-0.24724900722503662
-0.30644071102142334,-0.24440491199493408
-0.3033873438835144,-0.26213037967681885
